2/7/2021:5:37:58 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:38:05 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:40:20 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:41:25 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:41:52 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product | 200 | [{"id":1,"title":"baju","price":10000,"brand":"toko kami","review":21,"star":4,"image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.462Z","updatedAt":"2021-07-30T19:45:39.506Z","categories":{"name":"baju-muslim","id":1}}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
2/7/2021:5:42:18 | ::1 | GET | /product/category | 200 | [{"id":1,"name":"baju-muslim","image":"public/images/blank.jpg","createdAt":"2021-07-30T19:45:39.250Z","updatedAt":"2021-07-30T19:45:39.323Z"}]
