12/6/2021:15:34:27 | ::1 | GET | /product/category | 200 | [{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:15:34:40 | ::1 | GET | /product/category | 200 | [{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
12/6/2021:15:35:29 | ::1 | GET | /product | 200 | []
12/6/2021:15:35:40 | ::1 | GET | /product | 200 | []
12/6/2021:15:35:40 | ::1 | GET | /product | 200 | []
12/6/2021:15:36:23 | ::1 | GET | /product | 200 | []
12/6/2021:15:36:23 | ::1 | GET | /product | 200 | []
12/6/2021:15:38:25 | ::1 | GET | /product | 200 | []
12/6/2021:15:38:30 | ::1 | GET | /product | 200 | []
12/6/2021:15:38:30 | ::1 | GET | /product | 200 | []
12/6/2021:15:38:38 | ::1 | GET | /product | 200 | []
12/6/2021:15:38:38 | ::1 | GET | /product | 200 | []
12/6/2021:15:39:40 | ::1 | GET | /product | 200 | []
12/6/2021:15:39:47 | ::1 | GET | /product | 200 | []
12/6/2021:15:39:47 | ::1 | GET | /product | 200 | []
12/6/2021:15:40:45 | ::1 | GET | /product | 200 | []
12/6/2021:15:40:53 | ::1 | GET | /product | 200 | []
12/6/2021:15:40:53 | ::1 | GET | /product | 200 | []
12/6/2021:15:41:01 | ::1 | GET | /product | 200 | []
12/6/2021:15:41:01 | ::1 | GET | /product | 200 | []
12/6/2021:15:42:52 | ::1 | GET | /product | 200 | []
12/6/2021:15:42:59 | ::1 | GET | /product | 200 | []
12/6/2021:15:42:59 | ::1 | GET | /product | 200 | []
12/6/2021:15:43:44 | ::1 | GET | /product | 200 | []
12/6/2021:15:43:45 | ::1 | GET | /product | 200 | []
12/6/2021:15:43:46 | ::1 | GET | /product | 200 | []
12/6/2021:15:43:52 | ::1 | GET | /product | 200 | []
12/6/2021:15:58:16 | ::1 | POST | /register | 200 | {"message":"image file must be in jpg, jpeg or png format"}
12/6/2021:15:58:32 | ::1 | POST | /register | 200 | {"message":"e-mail already registered"}
12/6/2021:15:58:45 | ::1 | POST | /register | 200 | {"message":"e-mail already registered"}
12/6/2021:15:59:50 | ::1 | POST | /register | 200 | {"message":"e-mail already registered"}
12/6/2021:16:5:03 | ::1 | POST | /product | 200 | {"error":true,"message":"Category ID not found!"}
12/6/2021:16:5:11 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
12/6/2021:16:5:15 | ::1 | GET | /product | 200 | [{"id_product":"29","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-12T09:05:11.020Z-user.png","create_at":"2021-07-12T09:05:11.031Z","update_at":"2021-07-12T09:05:11.031Z"}]
12/6/2021:16:7:39 | ::1 | POST | /product | 200 | {"error":true,"message":"Category ID not found!"}
12/6/2021:16:10:41 | ::1 | PUT | /product | 200 | {}
12/6/2021:16:11:53 | ::1 | PUT | /product | 200 | {}
12/6/2021:16:12:32 | ::1 | PUT | /product | 200 | {}
12/6/2021:16:13:00 | ::1 | PUT | /product | 200 | {}
12/6/2021:16:16:01 | ::1 | PUT | /product | 200 | "insert or update on table \"product\" violates foreign key constraint \"product_fk\""
12/6/2021:16:16:32 | ::1 | PUT | /product | 200 | {"message":"Data successfully changed"}
12/6/2021:16:16:48 | ::1 | GET | /product | 200 | [{"id_product":"29","title":"kaos","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-12T09:16:32.872Z-user.png","create_at":"2021-07-12T09:05:11.031Z","update_at":"2021-07-12T09:16:32.887Z"}]
12/6/2021:16:17:37 | ::1 | PUT | /product | 200 | {"error":true,"message":"Product ID not found!"}
12/6/2021:16:17:54 | ::1 | PUT | /product | 200 | {"message":"Data successfully changed"}
12/6/2021:16:18:18 | ::1 | GET | /product | 200 | [{"id_product":"29","title":"kaos","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-12T09:17:54.254Z-user.png","create_at":"2021-07-12T09:05:11.031Z","update_at":"2021-07-12T09:17:54.268Z"}]
12/6/2021:16:18:39 | ::1 | GET | /product | 200 | [{"id_product":"29","title":"kaos","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-12T09:17:54.254Z-user.png","create_at":"2021-07-12T09:05:11.031Z","update_at":"2021-07-12T09:17:54.268Z"}]
12/6/2021:16:18:53 | ::1 | PUT | /product | 200 | {"message":"Data successfully changed"}
12/6/2021:16:19:16 | ::1 | GET | /product | 200 | [{"id_product":"29","title":"kaos","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-12T09:18:53.317Z-user.png","create_at":"2021-07-12T09:05:11.031Z","update_at":"2021-07-12T09:18:53.340Z"}]
